collectedBy,collectorNumber,collectionDate,family,genus,specificEpithet,infraspecificEpithet,habitatDescription,associatedTaxa,reproductiveCondition,cultivationStatus,sex,morphologicalDescription,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,elevationNumber,
,16,2024-04-11 00:00:00,,melictus,indicus,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Foster Park,36.6831 N ,97.3800 W,1844,ft 
,17,2024-04-22 00:00:00,Papaveraceae,Argemone,sanguinea,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,18,2024-04-22 00:00:00,Brassicaceae,Selenia ,jonesii,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,19,2024-04-22 00:00:00,,Amblyolepis,setigera,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,20,2024-04-22 00:00:00,,melampodium,leucocanthum,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,21,2024-04-22 00:00:00,,Zinna ,grandiflora,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,22,2024-04-22 00:00:00,,,,,Trees and shrubs,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,San Angelo Nature Trail,31.3769 N,100.5333 W,1844,ft 
,23,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,24,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,25,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,26,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,27,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,28,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,29,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,30,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,31,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,32,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,33,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,34,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,35,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,36,2024-04-28 00:00:00,,,,,Desert Area with hills and trees ,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Burkitt Trail,31.463922. N,100.5080308 W,1844,ft 
,37,2024-04-29 00:00:00,,,,,Sandy area in a vacant lot,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Walgreens,,,1844,ft 
,38,2024-04-29 00:00:00,,,,,Sandy area in a vacant lot,,,wild ,,,United States ,Texas,Tom Green ,San Angelo,Walgreens,,,1844,ft 
,1,2024-03-21 00:00:00,Cupressaceae,Juniperus,pinchotii,,Dry forested area near Lake Nasworthy. Soil is dry and cracked. ,"Nothoscordum bivalve, Cylindropuntia leptocaulis, Anemone okennonii",Producing cones,wild,F,"Green leaves, immature small brown cones.",US,Texas,Tom Green,San Angelo,San Angelo Nature Trail,,,,
,2,2024-03-21 00:00:00,Amaryllidaceae,Nothoscordum,bivalve,,Dry forested area near Lake Nasworthy. Soil is dry and cracked. ,"Juniperus pinchotii, Cylindropuntia leptocaulis, Anemone okennonii",Flowering,wild,Bi,White petals with 6 yellow stamens. Sepals are green with a purple stripe.,White petals with 6 yellow stamens. Sepals are green with a purple stripe.,Texas,Tom Green,San Angelo,San Angelo Nature Trail,,,,
,3,2024-03-21 00:00:00,Cactaceae,Cylindropuntia,leptocaulis,,Dry forested area near Lake Nasworthy. Soil is dry and cracked. ,"Juniperus pinchotii, Nothoscordum bivalve, Anemone okennonii",Flowering,wild,F,Woody stem with alternating succulent leaves. Sharp spines with small spines as well. Red oblong fruits.,US,Texas,Tom Green,San Angelo,San Angelo Nature Trail,,,,
,4,2024-03-21 00:00:00,Ranunculaceae,Anemone,okennonii,,Dry forested area near Lake Nasworthy. Soil is dry and cracked. ,"Juniperus pinchotii, Nothoscordum bivalve, Cylindropuntia leptocaulis",Flowering,wild,Bi,"Lots of pistils, pink and white flower, thick stem, has yellow stamens. ",US,Texas,Tom Green,San Angelo,San Angelo Nature Trail,,,,
,5,2024-03-31 00:00:00,Onagraceae,Oenothera,rosea,,"Along a trail, somewhat close to a body of water. Crumbly soil. ","Melilotus indicus, Thelesperma Filifolium, Sphaeralcea hastulata, Engelmannia peristenia",Flowering,wild,Bi,Pale pink petals with hot pink lines. Yellow/white center. X shaped stigma with yellow stamens. ,US,Texas,Tom Green,San Angelo,Red Arroyo Trail next to the DQ. ,,,,
,6,2024-03-31 00:00:00,Fabaceae,Melilotus,indicus,,"Along a trail, somewhat close to a body of water. Crumbly soil. ","Oenothera rosea, Thelesperma Filifolium, Sphaeralcea hastulata, Engelmannia peristenia",Flowering,wild,Bi,Has small yellow flowers.,US,Texas,Tom Green,San Angelo,Red Arroyo Trail next to the DQ. ,,,,
,7,2024-03-31 00:00:00,Asteraceae,Thelesperma,Filifolium,,"Along a trail, somewhat close to a body of water. Crumbly soil. ","Oenothera rosea,Melilotus indicus,  Sphaeralcea hastulata, Engelmannia peristenia",Flowering,wild,Bi,Yellow petals with a brown center.,US,Texas,Tom Green,San Angelo,Red Arroyo Trail next to the DQ. ,,,,
,8,2024-03-31 00:00:00,Fabaceae,Melilotus,indicus,,"Along a trail, somewhat close to a body of water. Crumbly soil. ","Oenothera rosea, Thelesperma Filifolium, Sphaeralcea hastulata, Engelmannia peristenia",Flowering,wild,Bi,Small yellow flowers.,US,Texas,Tom Green,San Angelo,Red Arroyo Trail next to the DQ. ,,,,
,9,2024-03-31 00:00:00,Malvaceae,Sphaeralcea,hastulata,,"Along a trail, somewhat close to a body of water. Crumbly soil. ","Oenothera rosea,Melilotus indicus, Thelesperma Filifolium, Sphaeralcea hastulata",Flowering,wild,M,Bright orange petals. ,US,Texas,Tom Green,San Angelo,Red Arroyo Trail next to the DQ. ,,,,
,10,2024-04-03 00:00:00,Asteraceae,Engelmannia,peristenia,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Yellow flowers, green sepals, yellow reproductive parts, and is fuzzy all over.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,11,2024-04-03 00:00:00,Amaryllidaceae,Allium,drummondii,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"White flowers, umbel with sheathed leaves. 6 stamens and 1 pistil. Looks wet in the center.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,12,2024-04-03 00:00:00,Verbenaceae,Glandularia,bipinnatifida,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Purple flowers, green sepals, purple stripe on the stem.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,13,2024-04-03 00:00:00,Plantaginaceae,Plantago,helleri,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Small , almost translucent flowers. Flowers have a red center and surround a fuzzy core. ",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,14,2024-04-03 00:00:00,Verbenaceae,Boraginaceae,c.f.,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Indeterminate ,"Yellow green flowers shaped weirdly. In sets of 3, and shaped like a horseshoe. ",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,15,2024-04-03 00:00:00,Brassicaceae,Physaria,gordonii,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering + fruiting,wild,F,Green and purple fruits with a stick coming off of it. Has small yellow flowers,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,16,2024-04-03 00:00:00,Asteraceae,Parthenium,confertum,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Small white star shaped flowers, feels fuzzy.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,17,2024-04-03 00:00:00,Onagraceae,Oenothera,suffrutescens,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Pale pink flowers, purple brown anthers, green sepals.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,18,2024-04-03 00:00:00,Geraniaceae,Erodium,texanum,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Purple petals, red stem, green stamen, leaves have red dots.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,19,2024-04-03 00:00:00,Fabaceae,Astragalus,nuttallianus,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering + fruiting,wild,Bi,Has green fruit and purple and white flowers.,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,20,2024-04-03 00:00:00,Euphorbiaceae ,Croton,dioicus,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,M,"Woody stem, small white flowers, stamen protruding.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,21,2024-04-03 00:00:00,Lamiaceae,Salvia,texana,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,Small purple flowers.,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,22,2024-04-03 00:00:00,Poaceae ,Avena,fatua,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,Has green and brown seed heads.,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,23,2024-04-03 00:00:00,Brassicaceae,Lepidium ,virginicum,var. virginicum,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Purple stem, small green flowers.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,24,2024-04-03 00:00:00,Asteraceae,Pinaropappus,roseus,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"White petals with pink stripes, green sepals and purple tips. Green stem with purple stripe. ",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,25,2024-04-03 00:00:00,Lamiaceae,Salvia,engelmannii,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,Purple flowers. Red and green stem.,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,26,2024-04-03 00:00:00,Sapindaceae,Ungnadia,speciosa,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Anemone tuberosa, Croton pottsii",Flowering,wild,Bi,"Deep pink flowers, woody stem, from a tree. ",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,27,2024-04-03 00:00:00,Ranunculaceae,Anemone,tuberosa,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Croton pottsii",Flowering + fruiting,wild,Bi,"Purple and white petals. Whiteish green fruit, tightly compact attached to stem far above the flower.",US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,28,2024-04-03 00:00:00,Euphorbiaceae ,Croton,pottsii,,"Nearby Turkey creek but no visible water. Dry cracked soil, lots of wind. ","Engelmannia peristenia, Allium drummondii, Glandularia bipinnatifida, Plantago helleri, Boraginaceae c.f., Physaria gordonii, Parthenium confertum, Oenothera suffrutescens, Erodium texanum, Astragalus nuttallianus, Croton dioicus, Salvia texana, Avena fatua, Lepidium virginicum, Pinaropappus roseus, Salvia engelmannii, Ungnadia speciosa, Anemone tuberosa",Flowering,wild,Bi,Greenish white/yellow flowers. Immature.,US,Texas,Tom Green,San Angelo,"Near Turkey Creek road sign, along the highway off of N Farm to Market Road 2288. ",,,,
,29,2024-04-04 00:00:00,Solanaceae,Chamaesaracha,sordida,,"Desert like area, soil is incredibly dry and cracked. Little to no shade.","Lepidium virginicum, Thymophylla c.f. pentachaeta, Plantago rhodosperma, Sphaeralcea angustifolia",Flowering,wild,Bi,Yellow petals with a darker yellow/orange stripes.,US,Texas,Tom Green,San Angelo,Angelo state MIR,,,,
,30,2024-04-04 00:00:00,Brassicaceae,Lepidium ,virginicum,var. virginicum,"Desert like area, soil is incredibly dry and cracked. Little to no shade.","Chamaesaracha sordida, Thymophylla c.f. pentachaeta, Plantago rhodosperma, Sphaeralcea angustifolia",Flowering,wild,Bi,Small white flowers.,US,Texas,Tom Green,San Angelo,Angelo state MIR,,,,
,31,2024-04-04 00:00:00,Asteraceae,Thymophylla c.f.,pentachaeta,,"Desert like area, soil is incredibly dry and cracked. Little to no shade.","Chamaesaracha sordida, Lepidium virginicum, Plantago rhodosperma, Sphaeralcea angustifolia",Flowering,wild,Bi,"Yellow flower head, flowers are round and tightly compact.",US,Texas,Tom Green,San Angelo,Angelo state MIR,,,,
,32,2024-04-04 00:00:00,Plantaginaceae,Plantago,rhodosperma,,"Desert like area, soil is incredibly dry and cracked. Little to no shade.","Chamaesaracha sordida, Lepidium virginicum, Thymophylla c.f. pentachaeta, Sphaeralcea angustifolia",Flowering,wild,Bi,Multiple spike flowers. Green with yellow poking off of it.,US,Texas,Tom Green,San Angelo,Angelo state MIR,,,,
,33,2024-04-04 00:00:00,Malvaceae,Sphaeralcea,angustifolia,,"Desert like area, soil is incredibly dry and cracked. Little to no shade.","Chamaesaracha sordida, Lepidium virginicum, Thymophylla c.f. pentachaeta, Plantago rhodosperma",Flowering,wild,Bi,Orange flowers.,US,Texas,Tom Green,San Angelo,Angelo state MIR,,,,
,34,2024-04-08 00:00:00,Orobanchaceae,Castilleja,indivisa ,,"Very lush and green area. Off the side of a highway, lots of wind. ","Lupinus texensis, Oenothera suffulta, Castilleja purpurea x indivisa, Phlox pilosa",Flowering,wild,Bi,Orange red flower.,US,Texas,San Saba,San Saba,On the highway between San Saba and Illano Texas. S highway 16 5-6 miles in. ,,,,
,35,2024-04-08 00:00:00,Fabaceae,Lupinus,texensis,,"Very lush and green area. Off the side of a highway, lots of wind. ","Castilleja indivisa, Oenothera suffulta, Castilleja purpurea x indivisa, Phlox pilosa",Flowering + fruiting,wild,Bi,Purple blue flowers with green fruits under the flowers.,US,Texas,San Saba,San Saba,On the highway between San Saba and Illano Texas. S highway 16 5-6 miles in. ,,,,
,36,2024-04-08 00:00:00,Onagraceae,Oenothera,suffulta,,"Very lush and green area. Off the side of a highway, lots of wind. ","Castilleja indivisa, Lupinus texensis, Castilleja purpurea x indivisa, Phlox pilosa",Flowering,wild,Bi,Light pink/white lowers. White filament with brown/red anther. Pistil is white/green and pink.,US,Texas,San Saba,San Saba,On the highway between San Saba and Illano Texas. S highway 16 5-6 miles in. ,,,,
,37,2024-04-08 00:00:00,Orobanchaceae,Castilleja,purpurea x indivisa,,"Very lush and green area. Off the side of a highway, lots of wind. ","Castilleja indivisa, Lupinus texensis, Oenothera suffulta, Phlox pilosa",Flowering,wild,Bi,Purple red flowers.,US,Texas,San Saba,San Saba,On the highway between San Saba and Illano Texas. S highway 16 5-6 miles in. ,,,,
,38,2024-04-08 00:00:00,Polemoniaceae,Phlox,pilosa,,"Very lush and green area. Off the side of a highway, lots of wind. ","Castilleja indivisa, Lupinus texensis, Oenothera suffulta, Castilleja purpurea x indivisa",Flowering,wild,Bi,"Feels sticky to touch, purple pink flowers, yellow reproductive parts.",US,Texas,Tom Green,San Angelo,Knickerbocker Ranch.,,,,
,39,2024-04-18 00:00:00,Juglandaceae,Carya,illinoinensis,,Near a stream in a forest. Ample shade. ,"Hordeum murinum, Carex emoryi",Flowering,wild,Bi,"Grey branches, green leaves, green staminate catkin. ",US,Texas,Tom Green,San Angelo,Knickerbocker Ranch.,,,,
,40,2024-04-18 00:00:00,Poaceae ,Hordeum,murinum,,Near a stream in a forest. Ample shade. ,"Carya illinoinensis, Carex emoryi",Flowering,wild,Bi,"Brown seed head, very spikey.",US,Texas,Tom Green,San Angelo,Knickerbocker Ranch.,,,,
,41,2024-04-18 00:00:00,Cyperaceae,Carex,emoryi,,Near a stream in a forest. Ample shade. ,"Carya illinoinensis, Hordeum murinum",Flowering,wild,Mono,"Triangular stem, green seed head with brown coming off of it. ",US,Texas,Tom Green,San Angelo,Knickerbocker Ranch.,,,,
,3,2024-03-17 00:00:00,Asparagaceae,Muscari,neglectum,,In a pot. ,,Flowering,Cultivated,Bi,Grape Hyacinth. Blue in color. ,US,Texas,Taylor,Abilene. ,In front of 333 Sugar berry avenue. ,,,,
,1,2024-04-25 00:00:00,Poacea,Nassella,pulchra,,Open pasture ,"Cedar, prickly pear, mesquite, daisys, tasajillo",Flowering,Wild,Bisexual," Densely tufted, long-lived, upright perennial bunchgrass with conspicuously long awns.",USA,Texas,Tom Green,San Angelo,"MIR Ranch,Old Sterling City Hwy, 5mi from San Angelo",31.51156° N,100.48689° W,582,Meters
,2,2024-04-20 00:00:00,Malvaceae,Pavonia ,lasiopetala,,Riverbed on clif edge,Mesquite and oak with forbs present ,Flowering,Wild,Bisexual,Pink flowers with yellow stamens with alternate leaves,USA,Texas,Tom Green,Christoval,"Pugh Park, South Concho River 0.5mi from Christoval",31.18159° N,100.49606° W,619,Meters
,3,2024-04-02 00:00:00,Convolvulaceae,Convolvulus,arvensis,,In mesquite and prickly pear patch,Mesquite and oak with forbs and grasses near,Flowering,Wild,Bisexual,Twining stems with whie flowers and yellow stamens,USA,Texas,Tom Green,San Angelo,"MIR Ranch,Old Sterling City Hwy, 5mi from San Angelo",31.52254°  N,100.51936° W,586,Meters
,4,2024-04-03 00:00:00,Aquifoliaceae,Llex,aquifolium,,Open pasture near highway,"Multiple forbs,grasses,and shrubs found",Flowering,Wild,Unisexual,Alternate simple leaves and greenish-white small flowers ,USA,Texas,Tom Green,San Angelo,N Bryant BLVD 3mi from San Angelo,31.48855° N,100.46952° W,574,Meters
,5,2024-04-03 00:00:00,Bignoniaceae,Chilopsis,linearis,,Dense trees and grasses,"Cedar, prickly pear, mesquite, daisys, tasajillo",Flowering,Wild,Bisexual,"Fairly loose, open branching narrow leaves, trumpet shaped flowers",USA,Texas,Tom Green,San Angelo,"Spillway Rd, Lake Nasworthy, 6mi from San Angelo",31.37816° N,100.53159° W,574,Meters
,6,2024-03-23 00:00:00,Acanthaceae,Dianthera,americana,,Growing in river by itself,Mesquite and oak on riverside,Flowering,Wild,Bisexual,"Multiple trunks, white flowers",USA,Texas,Tom Green,Christoval,"Pugh Park, South Concho River 0.5mi from Christoval",31.18622° N,100.49769° W,619,Meters
,7,2024-03-23 00:00:00,Brassicaceae,Rapistrum,rugosum,,Open pasture ,"Cedar, prickly pear, mesquite, daisys, tasajillo",Flowering,Wild,Bisexual,"Many-branched, with yellow flowers, leaves are deep green",USA,Texas,Tom Green,San Angelo,"Chalmar Rd, Lake Nasworthy, 6mi from San Angelo",31.36809° N,100.52648° W,571,Meters
